iadr,id_t,id_txi,id_txo_in,id_txo_out,input_val,oadr,output_val,,,,,,,,,,,,,,,,,,,,
0,113000163,449165097,0,876891920,0,1BQLNJtMDKmMZ4PyqVFfRuBNvoGhjigBKF,25.3335,,,,,,,,,,,,,,,,,,,,
1N8GuEfDx4yUn58uQtTghFkhahknqJjsuM,113001822,449169903,876434800,876895800,2.32804,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,9.38549,,,,,,,,,,,,,,,,,,,,
1Bo4qMkRnxCNhCudGLQiS2PCeaYVRgna3x,113001822,449169902,876435041,876895800,2.29546,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,9.38549,,,,,,,,,,,,,,,,,,,,
1MH4qxb8FjuzzMNq7RT8AGwowJLtNmwywe,113001822,449169901,876433818,876895800,1.31917,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,9.38549,,,,,,,,,,,,,,,,,,,,
13oh25pY9GuN4aBQGeoYwcfBMQY1YCwu5s,113001822,449169900,876433463,876895800,1.25242,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,9.38549,,,,,,,,,,,,,,,,,,,,
19pKKg6mRS2VsLy9qfzuGAHXTUukQvVrTT,113001822,449169899,876434908,876895800,1.2056,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,9.38549,,,,,,,,,,,,,,,,,,,,
1Ciq3c9wcsxB3YyVdTRDhDEGH9TVGTkhod,113001822,449169898,876433860,876895800,0.9849,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,9.38549,,,,,,,,,,,,,,,,,,,,
1JS8wSTz3EHZhzeGWCD1pJ9w9PuToNaeM8,113001821,449169897,876560418,876895799,1.7137,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,8.9633,,,,,,,,,,,,,,,,,,,,
16wpzyVHqp4UbpKZ9pUtoNpw2fpqemxudV,113001821,449169896,876564098,876895799,1.649,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,8.9633,,,,,,,,,,,,,,,,,,,,
192MzXJPiwPfpCeDrkAj611LyNM5U32mSC,113001821,449169895,876559807,876895799,1.54494,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,8.9633,,,,,,,,,,,,,,,,,,,,
1PqrYBja9QvYMWojDeuA6zjSWkxA6AB2DC,113001821,449169894,876560757,876895799,1.43465,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,8.9633,,,,,,,,,,,,,,,,,,,,
1MAFjWdq9GDfLcARH8UXM1KpLjewLKZdpY,113001821,449169893,876562255,876895799,1.3708,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,8.9633,,,,,,,,,,,,,,,,,,,,
