,input_user,output_user
0,0,1BQLNJtMDKmMZ4PyqVFfRuBNvoGhjigBKF
1,1,934
2,1,934
3,1,934
4,1,934
5,1,934
6,1,934
7,2,934
8,2,934
9,2,934
10,2,934
11,2,934
12,2,934
13,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
14,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
15,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
16,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
17,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
18,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
19,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
20,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
21,3,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW
22,4,934
23,4,934
24,4,934
25,4,934
26,4,934
27,4,934
28,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
29,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
30,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
31,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
32,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
33,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
34,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
35,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
36,5,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav
37,6,934
38,6,934
39,6,934
40,6,934
41,6,934
42,6,934
43,7,934
44,7,934
45,7,934
46,7,934
47,7,934
48,7,934
49,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
50,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
51,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
52,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
53,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
54,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
55,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
56,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
57,8,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q
58,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
59,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
60,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
61,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
62,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
63,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
64,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
65,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
66,9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA
67,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
68,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
69,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
70,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
71,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
72,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
73,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
74,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
75,10,19vjJ5XNLFY4dFmmYVL2hMYjM4v6JcJyVT
76,11,1PPY9Yv8dufGoJieu1mPzQmoEfFFnbBD3U
