Exchanges,Pools,Services/others,Gambling,Old/historic
Bittrex.com,BTCCPool,Xapo.com,SatoshiDice.com ,AgoraMarket
Poloniex.com,SlushPool.com  ,Cubits.com,LuckyB.it,BetcoinDice.tm
Huobi.com ,GHash.io,BitPay.com   ,BitZillions.com,SilkRoadMarketplace
BTC-e.com  ,AntPool.com  ,BitoEX.com,999Dice.com,DeepBit.net
LocalBitcoins.com ,BitMinter.com,Cryptonator.com ,CoinGaming.io,SilkRoad2Market
Luno.com,EclipseMC.com   ,CoinPayments.net,PrimeDice.com    ,EvolutionMarket
Bitstamp.net ,KnCMiner.com,Cryptopay.me ,CloudBet.com,Instawallet.org
Cryptsy.com ,Bitfury.org,HaoBTC.com,NitrogenSports.eu,UpDown.BT
Cex.io,BW.com,AlphaBayMarket ,SatoshiMines.com,AbraxasMarket
Bitcoin.de ,Eligius.st,NucleusMarket,SecondsTrade.com,MintPal.com
BtcTrade.com,Kano.is ,BitcoinFog,PocketDice.io,SealsWithClubs.eu
YoBit.net,Telco214,CoinJar.com,FortuneJack.com,PandoraOpenMarket
OKCoin.com ,,HelixMixer      ,Rollin.io,MiddleEarthMarketplace
BTCC.com  ,,BTCJam.com  ,BitZino.com,BtcDice.com
BX.in.th,,HolyTransaction.com,BitcoinVideoCasino.com  ,McxNOW.com
HitBtc.com ,,CoinKite.com,Betcoin.ag ,SheepMarketplace
Kraken.com,,BitcoinWallet.com,SatoshiBet.com,DiceOnCrack.com
MaiCoin.com,,FaucetBOX.com,SafeDice.com,BlackBankMarket
Bter.com    ,,MoonBit.co.in,Coinroll.com,BTCGuild.com
Hashnest.com,,OkLink.com,Crypto-Games.net,Coin-Swap.net
BitBay.net,,Purse.io,Betcoin.tm,BlueSkyMarketplace
MercadoBitcoin.com.br,,ePay.info,YABTCL.com,Justcoin.com
AnxPro.com,,Loanbase.com,SwCPoker.eu,PinballCoin.com
Bitfinex.com  ,,GermanPlazaMarket,SatoshiRoulette.com,Inputs.io
Bleutrade.com,,Paymium.com,BTCOracle.com,BitAces.me 
Matbea.com,,Bitbond.com,Peerbet.org,AllCoin.com
CoinSpot.com.au,,StrongCoin.com-fee,AnoniBet.com,Bitcoin-24.com  
Paxful.com,,CryptoStocks.com,Satoshi-Karoshi.com ,Betcoins.net
Bit-x.com,,CoinApult.com ,777Coin.com,Bitcoin-Roulette.com
VirWoX.com,,Genesis-Mining.com,BitStarz.com,Bitmit.net
BitBargain.co.uk,,ChangeTip.com,SatoshiCircle.com,Cryptorush.in
SpectroCoin.com,,DoctorDMarket,Coinichiwa.com,Leancy.com
Cavirtex.com,,GoCelery.com,CoinRoyale.com  ,Coin.mx
C-Cex.com ,,BTCPop.co,BetMoose.com,Crypto-Trade.com
CoinHako.com,,BTCLend.org,JetWin.com,VaultOfSatoshi.com
FoxBit.com.br   ,,CoinURL.com,BetChain.com-old,BitElfin.com
Vircurex.com,,BitNZ.com,BitcoinPokerTables.com,ActionCrypto.com
BitVC.com,,CoinBox.me,DiceNow.com,50BTC.com   
Exmo.com,,CoinWorker.com,FairProof.com,Dagensia.eu
Btc38.com,,WatchMyBit.com,DiceCoin.io,BitYes.com
Igot.com,,BitLaunder.com,MineField.BitcoinLab.org,AllCrypt.com
TheRockTrading.com ,,BitClix.com,,BitMillions.com
SimpleCoin.cz     ,,Vic-Socks.to,,MyBitcoin.com
FYBSG.com,,SecureVPN.to ,,CannabisRoadMarket
CoinMotion.com,,Bylls.com,,Chainroll.com 
CampBX.com ,,GreenRoadMarket,,Bitcoinica.com 
CoinTrader.net,,,,MasterXchange.com
Bitcurex.com,,,,BetsOfBitco.in
Coinmate.io,,,,Comkort.com
BlockTrades.us,,,,Playt.in
Korbit.co.kr,,,,PocketRocketsCasino.eu
Exchanging.ir,,,,Dispenser.tf
796.com,,,,BIToomBa.com
Vaultoro.com,,,,Btcst.com-pirateat40
BtcMarkets.net,,,,Ice-Dice.com
ChBtc.com,,,,DiceBitco.in
Coins-e.com,,,,CoinMkt.com
HappyCoins.com,,,,BTCt.com
LiteBit.eu,,,,ASICMiner
UrduBit.com-cold,,,,Just-Dice.com  
BTradeAustralia.com ,,,,AdmiralCoin.com
CoinCafe.com,,,,Bitcash.cz
MeXBT.com,,,,Coin-Sweeper.com
Coinomat.com,,,,CoinVault
OrderBook.net,,,,BabylonMarket
BitKonan.com,,,,DaDice.com
LakeBTC.com,,,,PonziCoin.co
QuadrigaCX.com,,,,BitcoinWeBank.com
Banx.io  ,,,,Dgex.com 
CleverCoin.com,,,,Polmine.pl
Gatecoin.com ,,,,BtcExchange.ro
Indacoin.com,,,,CloudHashing.com
CoinArch.com,,,,MPEx.co
BitcoinVietnam.com.vn,,,,10xBitco.in
CoinChimp.com,,,,CryptcoMiner.com
Cryptonit.net ,,,,Cryptomine.io
Exchange-Credit.ru,,,,Birwo.com-old
Bitso.com,,,,Europex.eu
Coinimal.com,,,,CryptoBounty.com
EmpoEX.com,,,,EveryDice.com
Ccedk.com,,,,SuzukiDice.com
UseCryptos.com,,,,Brawker.com
Coinbroker.io,,,,CryptoLocker
Zyado.com ,,,,SmenarnaBitcoin.cz
1Coin.com,,,,BtcEur.eu
Coingi.com,,,,CoinHub.cz
ExchangeMyCoins.com,,,,MinersCenter.com
