ID(t),ID(txi),ID(txo1),ID(txo2),iadr.address,oadr.address,txo1.value,txo2.value
113001822,449169903,876434800,876895800,1N8GuEfDx4yUn58uQtTghFkhahknqJjsuM,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.32804,9.38549
113001822,449169902,876435041,876895800,1Bo4qMkRnxCNhCudGLQiS2PCeaYVRgna3x,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.29546,9.38549
113001822,449169901,876433818,876895800,1MH4qxb8FjuzzMNq7RT8AGwowJLtNmwywe,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.31917,9.38549
113001822,449169900,876433463,876895800,13oh25pY9GuN4aBQGeoYwcfBMQY1YCwu5s,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.25242,9.38549
113001822,449169899,876434908,876895800,19pKKg6mRS2VsLy9qfzuGAHXTUukQvVrTT,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.2056,9.38549
113001822,449169898,876433860,876895800,1Ciq3c9wcsxB3YyVdTRDhDEGH9TVGTkhod,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.9849,9.38549
113001821,449169897,876560418,876895799,1JS8wSTz3EHZhzeGWCD1pJ9w9PuToNaeM8,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.7137,8.9633
113001821,449169896,876564098,876895799,16wpzyVHqp4UbpKZ9pUtoNpw2fpqemxudV,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.649,8.9633
113001821,449169895,876559807,876895799,192MzXJPiwPfpCeDrkAj611LyNM5U32mSC,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.54494,8.9633
113001821,449169894,876560757,876895799,1PqrYBja9QvYMWojDeuA6zjSWkxA6AB2DC,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.43465,8.9633
113001821,449169893,876562255,876895799,1MAFjWdq9GDfLcARH8UXM1KpLjewLKZdpY,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.3708,8.9633
113001821,449169892,876562493,876895799,177DcYkh7Xw9Cme6hFj9FSP3xqhTmgxUP8,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.2503,8.9633
113001820,449169891,875943197,876895798,1LEisPYwyEBgT3K8eQ9vuhqa1i2nAh9gET,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.0100592,0.0778991
113001820,449169891,875943197,876895798,19MvrmbWgUMerXJyHcPEZCUMC5ninSCxyM,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.0100592,0.0778991
113001820,449169891,875943197,876895798,1BbdPvKX7TR4Ra5WnLZcyBxeKS99HXEqKN,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.0100592,0.0778991
113001820,449169890,876802625,876895798,1ANmbtFCRHqXPMLQPkKWK4rVaSjjGAAzut,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.00314244,0.0778991
113001820,449169890,876802625,876895798,1LyWAhcn2TpvVEd2J1Ppx2uKNQSHERrqGo,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.00314244,0.0778991
113001820,449169890,876802625,876895798,17B93VbsEX1Ta4VAmvdPjuguCn22uExfqW,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.00314244,0.0778991
113001820,449169889,876364910,876895798,15EcFQNEqZzUkqXoMeLoFKHguMjRRd74iA,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.0647975,0.0778991
113001820,449169889,876364910,876895798,1LZR7bdpJ9AYU7ssUaKxVyZFnEoB1vX5Za,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.0647975,0.0778991
113001820,449169889,876364910,876895798,1DQaq1JLG8ibXYEMPfXz6NRMrE8wF3bhvp,1Q4Wy4x4kFqZ1wwmne7kkgra77pXVHJbNW,0.0647975,0.0778991
113001819,449169888,876345101,876895797,14SHzk11XRRuzTqNRqiZJpnbDktYyPVRw3,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.400641,2.06523
113001819,449169887,876341676,876895797,17AybrjHoGLTUzRDBRrYGniTamQHmhVgky,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.397977,2.06523
113001819,449169886,876345253,876895797,1GRncr5g9BxPxdrWws13HYdWBtQqXMbJ5e,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.352344,2.06523
113001819,449169885,876345390,876895797,18npfKrF87dZBV2avp6igrtRLkRusZdTqm,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.344113,2.06523
113001819,449169884,876341579,876895797,1CesQ4ahr66zi2ZwLCsQh4i9SrdT7BvnvL,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.330766,2.06523
113001819,449169883,876345394,876895797,18npfKrF87dZBV2avp6igrtRLkRusZdTqm,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.239484,2.06523
113001818,449169882,876206085,876895796,12skXeaHKQqdpp1mBVs7XMu1JfUGDUzip4,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,0.00030275,1.34881
113001818,449169882,876206085,876895796,17gL2zQVVCvZgd2frFvwaVgwsqfAkWRGcr,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,0.00030275,1.34881
113001818,449169882,876206085,876895796,1JSkg1wMQdhyRz9BT3H6zrk5762y3xDUWW,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,0.00030275,1.34881
113001818,449169881,876206083,876895796,1DTVHfTniUVA8CpuHd1ZT2JYvBbx8TBDvJ,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,0.0002,1.34881
113001818,449169881,876206083,876895796,1PCr3KFJYr5uF6g6ofjs6BRHab3ipAoYP9,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,0.0002,1.34881
113001818,449169881,876206083,876895796,1G8E8vPLLDJFtJNhj8VTcsfhQ9KCr7Vi1a,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,0.0002,1.34881
113001818,449169880,876367956,876895796,1JvPhgFGUuKjjTFSPxDZMoK7WKM9ANdM6p,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34841,1.34881
113001818,449169880,876367956,876895796,14RD1eZ6ms5Lv3PJNpGzs1c5b4B4ZkVa68,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34841,1.34881
113001818,449169880,876367956,876895796,1KNcCn5ZZ6UeKfw4iCQKDcDgUNWViiaHsn,1EMJZrMmyC3V6ZdVXJhbL8YrBHim4WUSav,1.34841,1.34881
113001817,449169879,876345308,876895795,19bhYdxwaiZxMYf8epvm9v7gUGfxRPsGgL,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.16806,5.39978
113001817,449169878,876345670,876895795,1M7mzAnMji5ninJbqnvYbR2Qxap5v5mQwV,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,1.0366,5.39978
113001817,449169877,876345331,876895795,1NoKuxK4vWwbtUhqTTqYr9fRb5fGAAhr8m,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.89292,5.39978
113001817,449169876,876341665,876895795,19EkdS8ath2S3cfa8CySNjDgLrgR5jfmGt,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.817032,5.39978
113001817,449169875,876343261,876895795,1FAeQbJj1Nh7a5qzRi3Bk8X67LQfEZB96D,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.755287,5.39978
113001817,449169874,876343202,876895795,1DcvPwQskEVKaVG9Zka5a8Gonj6AjCa5m3,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.729979,5.39978
113001816,449169873,876561851,876895794,12QBzd6kjsoF8FC4FhLDu9F4U9CeSdXTDX,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.165453,0.870154
113001816,449169872,876563961,876895794,19JF4PV317SCoTaXF1drBZCcz52SKXR2Bk,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.14179,0.870154
113001816,449169871,876560402,876895794,1ACK6h4Um1HXPPTZPXPgL7byv9bTSsjSz6,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.14168,0.870154
113001816,449169870,876560758,876895794,1FoQa5tbdR1ut9kuokJmj9spUNBMauy7ns,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.140703,0.870154
113001816,449169869,876560782,876895794,16zeBeK7zzFEjWwQg1bXwsPo7BKHCSx8ns,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.140627,0.870154
113001816,449169868,876563743,876895794,186cWq44ps65AtzqATQv6HYD5dZhF24u9d,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,0.14,0.870154
113001815,449169867,876204262,876895793,17Nm5aQxKcLi8pFyHJPmyHvpBkTfusk9g9,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,5.758e-05,0.734742
113001815,449169867,876204262,876895793,16aDEymTrJnin9Uot1g3fBnccQ8i24cSMm,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,5.758e-05,0.734742
113001815,449169867,876204262,876895793,1JCt6vLSbqggFkbbv7VwtFxq7QE8nuTwUY,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,5.758e-05,0.734742
113001815,449169866,876204255,876895793,1AuZvwZytY9SwxtBqWDZbcvyDgMuTDMS1k,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,5.976e-05,0.734742
113001815,449169866,876204255,876895793,1GWcWVjXxpL8gh4N3CYjByVFkQaNzVbZKC,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,5.976e-05,0.734742
113001815,449169866,876204255,876895793,1Eo5XgbroeXES3nbA7bf8XB59uB2gwrRzn,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,5.976e-05,0.734742
113001815,449169865,876347832,876895793,1LDN1UJhJeR9odtGxCXTHzvQwGsNiziuac,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734725,0.734742
113001815,449169865,876347832,876895793,1P54JTdejw5B5aAfzUUMEkcH8qRvpxyB1h,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734725,0.734742
113001815,449169865,876347832,876895793,1CZUFxzfksdHJExE5DRuMcyVBERSTv2xy9,12AscheHnA6nabKS5QTjo6fXU92ZMopk5Q,0.734725,0.734742
113001814,449169864,876204006,876895792,1BZMr1PtpoFDKugwWAawZQHa3ZbW39qMhG,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,9.993e-05,0.378277
113001814,449169864,876204006,876895792,17KPuAxtC4TzyUSSfFSCB8eRSeFVMfcpaK,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,9.993e-05,0.378277
113001814,449169864,876204006,876895792,1D7X3bpPDsWTTuGcgx8ervHrbLtHcyKwN9,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,9.993e-05,0.378277
113001814,449169863,876203995,876895792,1239fLdSqKuay6TR7A3ey6azKxzcktM27n,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,9.755e-05,0.378277
113001814,449169863,876203995,876895792,19Kt9e32vCeJRgGwgPYyUEKh1SCYw9Wmpp,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,9.755e-05,0.378277
113001814,449169863,876203995,876895792,1A2vPkDV7AbzHA9jUuyGUYXexupYDe9REE,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,9.755e-05,0.378277
113001814,449169862,876341079,876895792,1FFFrgJEsc1bvLLC8GTyjNYQc66F6LzS3M,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378179,0.378277
113001814,449169862,876341079,876895792,16shk4EWwisNp6v6MGp2o3nqt8dygkpsP4,16WAESmbRNexyns7TWbjX9eAsc8BGhuaKA,0.378179,0.378277
