user,unique_sent_user,unique_sent,max_sent,min_sent,unique_sent_adr,unique_sent_tx,total_sent,unique_rec,unique_rec_tx,unique_rec_user,unique_rec_adr,max_rec,min_rec,total_rec,num_tx,is_miner,category
0,4.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,25.1574,25.0483,75.2632,0.0,1,unknown
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,25.5824,25.5824,25.5824,0.0,1,unknown
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,25.2892,25.2892,25.2892,0.0,1,unknown
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,25.0802,25.0802,25.0802,0.0,1,unknown
5,2.0,4.0,0.26341,0.00091358,3.0,2.0,0.5149680499999999,8.0,2.0,1.0,1.0,0.181035,0.0332752,0.25968,4.0,0,unknown
6,2.0,2.0,0.269541,0.00015199,2.0,1.0,0.4704505299999999,30.0,1.0,1.0,26.0,0.039451,0.039451,0.039451,2.0,0,unknown
7,2.0,2.0,0.5674,0.0387,2.0,1.0,1.0792000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
8,2.0,2.0,0.024766,0.0100272,2.0,1.0,0.08163250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
9,2.0,2.0,2.80382,0.209184,2.0,1.0,7.420964000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
10,10.0,10.0,1.3,0.11518,10.0,1.0,1.623653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
11,1.0,2.0,0.00148239,0.00106295,2.0,1.0,0.00254534,2.0,1.0,1.0,2.0,0.00148239,0.00106295,0.00254534,2.0,0,unknown
12,1.0,2.0,0.00158993,0.00105541,2.0,1.0,0.00264534,2.0,1.0,1.0,2.0,0.00158993,0.00105541,0.00264534,2.0,0,unknown
13,1.0,2.0,0.00173261,0.00101273,2.0,1.0,0.00274534,2.0,1.0,1.0,2.0,0.00173261,0.00101273,0.00274534,2.0,0,unknown
14,1.0,2.0,0.00162687,0.00121847,2.0,1.0,0.00284534,6.0,1.0,1.0,6.0,0.00162687,0.00121847,0.00284534,2.0,0,unknown
15,1.0,2.0,0.00244345,0.0001,2.0,1.0,0.0030453399999999997,26.0,3.0,2.0,25.0,0.00244345,0.0001,0.0030453399999999997,4.0,0,unknown
16,2.0,2.0,0.105,0.105,2.0,1.0,0.105,8.0,1.0,1.0,8.0,0.105,0.105,0.105,2.0,0,unknown
17,2.0,2.0,0.129,0.129,2.0,1.0,0.129,8.0,1.0,1.0,8.0,0.129,0.129,0.129,2.0,0,unknown
18,94.0,223.0,0.59343,0.00687787,223.0,16.0,14.494728649999972,361.0,55.0,42.0,336.0,0.59343,0.0003,11.504087800000102,71.0,0,unknown
19,2.0,2.0,0.078,0.078,2.0,1.0,0.078,1.0,1.0,1.0,1.0,0.078,0.078,0.078,2.0,0,unknown
20,2.0,2.0,0.1211,0.1211,2.0,1.0,0.1211,16.0,1.0,1.0,16.0,0.1211,0.1211,0.1211,2.0,0,unknown
21,1.0,2.0,0.1482,0.1482,2.0,1.0,0.1482,16.0,1.0,1.0,16.0,0.1482,0.1482,0.14820000000000005,2.0,0,unknown
22,2.0,2.0,0.00403673,0.00243994,2.0,1.0,0.006476669999999999,2.0,1.0,1.0,2.0,0.00403673,0.00243994,0.006476669999999999,2.0,0,unknown
23,1.0,2.0,0.00351488,0.00306179,2.0,1.0,0.006576670000000001,2.0,1.0,1.0,2.0,0.00351488,0.00306179,0.00657667,2.0,0,unknown
24,1.0,2.0,0.00492956,0.00174711,2.0,1.0,0.006676670000000001,2.0,1.0,1.0,2.0,0.00492956,0.00174711,0.006676670000000001,2.0,0,unknown
25,1.0,2.0,0.00352503,0.00325164,2.0,1.0,0.00677667,2.0,1.0,1.0,2.0,0.00352503,0.00325164,0.00677667,2.0,0,unknown
26,1.0,2.0,0.00360411,0.00327256,2.0,1.0,0.00687667,2.0,1.0,1.0,2.0,0.00360411,0.00327256,0.00687667,2.0,0,unknown
27,1.0,2.0,0.004986,0.00199067,2.0,1.0,0.00697667,2.0,1.0,1.0,2.0,0.004986,0.00199067,0.006976670000000001,2.0,0,unknown
28,1.0,2.0,0.00480484,0.00227183,2.0,1.0,0.00707667,2.0,1.0,1.0,2.0,0.00480484,0.00227183,0.00707667,2.0,0,unknown
29,1.0,2.0,0.00491825,0.00225842,2.0,1.0,0.0071766700000000004,2.0,1.0,1.0,2.0,0.00491825,0.00225842,0.00717667,2.0,0,unknown
30,1.0,2.0,0.00464529,0.00263138,2.0,1.0,0.007276669999999999,6.0,1.0,1.0,6.0,0.00464529,0.00263138,0.007276670000000001,2.0,0,unknown
31,1.0,2.0,0.00471907,0.0001,2.0,1.0,0.007476669999999999,72.0,3.0,2.0,66.0,0.00471907,0.0001,0.007476669999999971,4.0,0,unknown
32,2.0,2.0,0.0334,0.0334,2.0,1.0,0.0334,2.0,1.0,1.0,1.0,0.0334,0.0334,0.0334,2.0,0,unknown
33,2.0,2.0,0.0459191,0.00531056,2.0,1.0,0.05122966,19.0,1.0,1.0,19.0,0.0459191,0.0459191,0.04591910000000001,2.0,0,unknown
34,1.0,2.0,0.022,0.022,2.0,1.0,0.022,1.0,1.0,1.0,1.0,0.022,0.022,0.022,2.0,0,unknown
35,1.0,2.0,0.0458802,0.0458802,2.0,1.0,0.0458802,1.0,1.0,1.0,1.0,0.0458802,0.0458802,0.0458802,2.0,0,unknown
36,2.0,2.0,0.0239,0.0239,2.0,1.0,0.0239,1.0,1.0,1.0,1.0,0.0239,0.0239,0.0239,2.0,0,unknown
37,2.0,2.0,0.048,0.048,2.0,1.0,0.048,1.0,1.0,1.0,1.0,0.048,0.048,0.048,2.0,0,unknown
38,2.0,2.0,0.072,0.072,2.0,1.0,0.072,2.0,1.0,1.0,1.0,0.072,0.072,0.072,2.0,0,unknown
39,2.0,2.0,0.11098,0.11098,2.0,1.0,0.11098,2.0,1.0,1.0,1.0,0.11098,0.11098,0.11098,2.0,0,unknown
40,2.0,2.0,0.1772,0.00588017,2.0,1.0,0.18308017000000001,19.0,1.0,1.0,19.0,0.1772,0.1772,0.1772,2.0,0,unknown
41,2.0,2.0,0.158,0.158,2.0,1.0,0.158,28.0,1.0,1.0,28.0,0.158,0.158,0.158,2.0,0,unknown
42,3.0,16.0,0.11933,0.00780674,16.0,1.0,1.1821231999999955,25.0,1.0,1.0,20.0,0.11933,0.04547,0.23440000000000022,2.0,0,unknown
43,1.0,1.0,0.2363,0.0515432,1.0,1.0,0.6583594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
44,4.0,3.0,0.0002323,5.43e-05,4.0,1.0,0.0005681666666666665,3.0,1.0,1.0,1.0,0.0001086,7.8e-05,0.0001866,2.0,0,unknown
45,2.0,2.0,0.0149,0.00742458,2.0,1.0,0.02232458,25.0,1.0,1.0,20.0,0.00742458,0.00742458,0.007424579999999998,2.0,0,unknown
46,2.0,2.0,0.0211,0.0211,2.0,1.0,0.0211,1.0,1.0,1.0,1.0,0.0211,0.0211,0.0211,2.0,0,unknown
47,2.0,2.0,0.0822,0.0822,2.0,1.0,0.0822,1.0,1.0,1.0,1.0,0.0822,0.0822,0.0822,2.0,0,unknown
48,2.0,2.0,0.156,0.156,2.0,1.0,0.156,25.0,1.0,1.0,20.0,0.156,0.156,0.15599999999999994,2.0,0,unknown
49,2.0,2.0,9.92e-05,5.43e-05,2.0,1.0,0.00026210000000000003,8.0,2.0,2.0,2.0,0.0001074,5.43e-05,0.00016169999999999997,3.0,0,unknown
50,4.0,10.0,0.7,0.0229,6.0,6.0,3.3898783999999997,16.0,7.0,2.0,2.0,0.329432,0.0697,1.2159779999999998,13.0,0,unknown
51,2.0,2.0,2.36,0.0743782,2.0,1.0,6.034378199999999,4.0,1.0,1.0,4.0,0.118278,0.118278,0.118278,2.0,0,unknown
52,2.0,2.0,0.0100127,0.00089412,2.0,1.0,0.02471476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown
53,4.0,26.0,0.0196389,0.00198981,4.0,13.0,0.2180453500000001,28.0,16.0,3.0,9.0,0.0196389,0.00273746,0.19716006999999997,29.0,0,unknown
54,1.0,2.0,0.0144675,0.0123963,2.0,1.0,0.0407167,3.0,1.0,1.0,1.0,0.0240784,0.0165383,0.0406167,2.0,0,unknown
